Species,State,Hf298_J_per_mol,Gf298_J_per_mol
Methane,gas,-74520,-50460
Ethane,gas,-83820,-31855
Propane,gas,-104680,-24290
n-Butane,gas,-125790,-16570
n-Pentane,gas,-146760,-8650
n-Hexane,gas,-166920,150
n-Heptane,gas,-187780,8260
n-Octane,gas,-208750,16260
Ethylene,gas,52510,68460
Propylene,gas,19710,62205
1-Butene,gas,-540,70340
1-Pentene,gas,-21280,78410
1-Hexene,gas,-41950,86830
1-Heptene,gas,-62760,
Acetaldehyde,gas,-166190,-128860
Acetic_acid,liquid,-484500,-389900
Acetylene,gas,227480,209970
Benzene,gas,82930,129665
Benzene,liquid,49080,124520
1_3-Butadiene,gas,109240,149795
Cyclohexane,gas,-123140,31920
Cyclohexane,liquid,-156230,26850
1_2-Ethanediol,liquid,-454800,-323080
Ethanol,gas,-235100,-168490
Ethanol,liquid,-277690,-174780
Ethylbenzene,gas,29920,130890
Ethylene_oxide,gas,-52630,-13010
Formaldehyde,gas,-108570,-102530
Methanol,gas,-200660,-161960
Methanol,liquid,-238660,-166270
Methylcyclohexane,gas,-154770,27480
Methylcyclohexane,liquid,-190160,20560
Styrene,gas,147360,213900
Toluene,gas,50170,122050
Toluene,liquid,12180,113630
Ammonia,gas,-46110,-16400
Ammonia,aqueous,-26500,
Calcium_carbide,solid,-59800,-64900
Calcium_carbonate,solid,-1206920,-1128790
Calcium_chloride,solid,-795800,-748100
Calcium_chloride,aqueous,-8101900,
Calcium_chloride_hexahydrate,solid,-2607900,
Calcium_hydroxide,solid,-986090,-898490
Calcium_hydroxide,aqueous,-868070,
Calcium_oxide,solid,-635090,-604030
Carbon_dioxide,gas,-393509,-394359
Carbon_monoxide,gas,-110525,-137169
Hydrochloric_acid,gas,-92307,-95299
Hydrogen_cyanide,gas,135100,124700
Hydrogen_sulfide,gas,-20630,-33560
Iron_oxide_FeO,solid,-272000,
Iron_oxide_hematite,solid,-824200,-742200
Iron_oxide_magnetite,solid,-1118400,-1015400
Iron_sulfide_pyrite,solid,-178200,-166900
Lithium_chloride,solid,-408610,
Lithium_chloride_monohydrate,solid,-712580,
Lithium_chloride_dihydrate,solid,-1012650,
Lithium_chloride_trihydrate,solid,-1311300,
Nitric_acid,liquid,-174100,-80710
Nitric_acid,aqueous,-111250,
Nitric_oxide_NO,gas,90250,86550
Nitrogen_dioxide_NO2,gas,33180,51310
Nitrous_oxide_N2O,gas,82050,104200
Dinitrogen_tetroxide_N2O4,gas,9160,97540
Sodium_carbonate,solid,-1130680,-1044440
Sodium_carbonate_decahydrate,solid,-4081320,
Sodium_chloride,solid,-411153,-384138
Sodium_chloride,aqueous,-393133,
Sodium_hydroxide,solid,-425609,-379494
Sodium_hydroxide,aqueous,-419150,
Sulfur_dioxide,gas,-296830,-300194
Sulfur_trioxide,gas,-395720,-371060
Sulfur_trioxide,liquid,-441040,
Sulfuric_acid,liquid,-813989,-690003
Sulfuric_acid,aqueous,-744530,
Water,gas,-241818,-228572
Water,liquid,-285830,-237129
