Species,Hf298_kJ_per_mol,Gf298_kJ_per_mol
Acetaldehyde,-212.2,-139.0
Acetate,-486.0,-369.3
Acetic_acid,-485.8,-396.5
Acetone,-221.7,-159.7
Adenosine,-621.3,-194.5
Adenosine_cation,-637.7,-214.3
ADP_3minus,-2626.5,-1906.1
ADP_2minus,-2620.9,-1947.1
ADP_minus,-2638.5,-1972.0
AMP_2minus,-1635.4,-1040.5
AMP_minus,-1630.0,-1078.9
AMP_neutral,-1648.1,-1101.6
ATP_4minus,-3619.2,-2768.1
ATP_3minus,-3612.9,-2811.5
ATP_2minus,-3627.9,-2838.2
Alanine,-554.8,-371.0
Ammonia,-80.3,-26.5
Ammonium,-132.5,-79.3
D_arabinose,-1043.8,-742.2
L_asparagine,-766.1,-525.9
L_aspartate,-943.4,-695.9
Citrate_3minus,-1515.1,-1162.7
Citrate_2minus,-1518.5,-1199.2
Citrate_minus,-1520.9,-1226.3
Carbon_dioxide,-413.8,-386.0
Carbonate_2minus,-677.1,-527.8
Bicarbonate,-692.0,-586.8
Carbonic_acid,-694.9,-606.3
Carbon_monoxide,-121.0,-119.9
Ethanol,-288.3,-181.6
Ethyl_acetate,-482.0,-337.7
Formate,-425.6,-351.0
D_fructose,-1259.4,-915.5
D_fructose_6_phosphate_2minus,-2267.7,-1760.8
D_fructose_6_phosphate_minus,-2265.9,-1796.6
D_fructose_1_6_biphosphate_3minus,-3320.1,-2639.4
D_fructose_1_6_biphosphate_2minus,-3318.3,-2673.9
Fumarate_2minus,-777.4,-601.9
Fumarate_minus,-774.5,-628.1
Fumaric_acid,-774.9,-645.8
D_galactose,-1255.2,-908.9
D_glucose,-1262.2,-915.9
D_glucose_6_phosphate_2minus,-2276.4,-1763.9
D_glucose_6_phosphate_minus,-2274.6,-1800.6
L_glutamate,-979.9,-697.5
L_glutamine,-805.0,-528.0
Glycerol,-676.6,-497.5
Glycine,-523.0,-379.9
Glycylglycine,-734.3,-520.2
Hydrogen,-4.2,17.6
Hydrogen_peroxide,-191.2,-134.0
Hydrogen_ion,0.0,0.0
Indole,97.5,223.8
Lactate,-686.6,-516.7
Lactose,-2233.1,-1567.3
L_leucine,-643.4,-352.3
Maltose,-2238.1,-1574.7
D_mannose,-1258.7,-910.0
Methane,-89.0,-34.3
Methanol,-245.9,-175.3
Methylammonium,-124.9,-39.9
Nitrogen,-10.5,18.7
NAD_oxidized,0.0,0.0
NAD_reduced,-31.9,22.7
NADP_oxidized,0.0,-835.2
NADP_reduced,-29.2,-809.2
Oxygen,-11.7,16.4
Oxalate_2minus,-825.1,-673.9
Hydrogen_phosphate_2minus,-1299.0,-1096.1
Dihydrogen_phosphate,-1302.6,-1137.3
2_propanol,-330.8,-185.2
Pyrophosphate_4minus,-2293.5,-1919.9
HP2O7_3minus,-2294.9,-1973.9
H2P2O7_2minus,-2295.4,-2012.2
H3P2O7_minus,-2290.4,-2025.1
H4P2O7,-2281.2,-2029.9
Pyruvate,-596.2,-472.3
D_ribose,-1034.0,-738.8
D_ribose_5_phosphate_2minus,-2041.5,-1582.6
D_ribose_5_phosphate_minus,-2030.2,-1620.8
D_ribulose,-1023.0,-735.9
L_sorbose,-1263.3,-912.0
Succinate_2minus,-908.7,-690.4
Succinate_minus,-908.8,-722.6
Succinic_acid,-912.2,-746.6
Sucrose,-2199.9,-1564.7
L_tryptophan,-405.2,-114.7
Urea,-317.7,-202.8
L_valine,-612.0,-358.7
D_xylose,-1045.9,-750.5
D_xylulose,-1029.7,-746.2
